site,distance,n_tussocks,area
8_07_1,100,3,4
8_07_1,102,0,4
8_07_1,104,6,4
8_07_1,106,5,4
8_07_1,108,4,4
8_07_1,110,1,4
8_07_1,112,3,4
8_07_1,114,4,4
8_07_1,116,7,4
8_07_1,118,9,4
8_07_1,120,6,4
8_07_1,122,3,4
8_07_1,124,3,4
8_07_1,126,5,4
8_07_1,128,11,4
8_07_1,130,9,4
8_07_1,132,3,4
8_07_1,134,6,4
8_07_1,136,2,4
8_07_1,138,4,4
8_07_1,140,6,4
8_07_1,142,4,4
8_07_1,144,11,4
8_07_1,146,4,4
8_07_1,148,9,4
8_07_1,150,9,4
8_07_1,152,7,4
8_07_1,154,5,4
8_07_1,156,4,4
8_07_1,158,8,4
8_07_1,160,4,4
8_07_1,162,1,4
8_07_1,164,5,4
8_07_1,166,9,4
8_07_1,168,9,4
8_07_1,170,5,4
8_07_1,172,5,4
8_07_1,174,6,4
8_07_1,176,7,4
8_07_1,178,5,4
8_07_1,180,5,4
8_07_1,182,3,4
8_07_1,184,4,4
8_07_1,186,3,4
8_07_1,188,6,4
8_07_1,190,4,4
8_07_1,192,4,4
8_07_1,194,3,4
8_07_1,196,7,4
8_07_1,198,8,4
dead_horse,0,6,4
dead_horse,2,10,4
dead_horse,4,3,4
dead_horse,6,0,4
dead_horse,8,3,4
dead_horse,10,6,4
dead_horse,12,5,4
dead_horse,14,6,4
dead_horse,16,1,4
dead_horse,18,3,4
dead_horse,20,1,4
dead_horse,22,0,4
dead_horse,24,3,4
dead_horse,26,1,4
dead_horse,28,2,4
dead_horse,30,3,4
dead_horse,32,2,4
dead_horse,34,3,4
dead_horse,36,6,4
dead_horse,38,0,4
dead_horse,40,2,4
dead_horse,42,2,4
dead_horse,44,0,4
dead_horse,46,1,4
dead_horse,48,0,4
dead_horse,50,0,4
dead_horse,52,2,4
