site,distance,diam,mass_overall,mass_above,mass_below,mass_mound
7_24_1,71,25.781,1208.474009,22.25295391,40.56037383,1145.135278
7_24_1,73.3,9.398,134.9343783,4.707150742,6.892938231,124.0405178
7_24_1,74,4.445,26.52865962,1.486711713,1.850711647,23.84397501
7_24_1,75,23.622,999.35618,19.44999467,34.78519964,944.4905958
7_24_1,76.5,17.907,547.5022918,12.69838937,21.38600168,513.1520464
7_24_1,77.1,10.287,164.2098119,5.409804147,8.078721223,151.3632348
7_24_1,77.9,25.527,1182.757605,21.91636967,39.86117983,1120.433098
7_24_1,79.95,10.16,159.8374623,5.307339329,7.904377045,147.277921
7_24_1,80.6,18.542,590.5592777,13.39813445,22.73568742,554.0879291
7_24_1,81.4,15.494,399.7847606,10.16220645,16.58569128,373.0750388
7_24_1,83,21.463,811.5002855,16.78198517,29.39603872,764.7409033
7_24_1,83.1,12.065,232.176167,6.914518888,10.68912693,215.0408286
7_24_1,83.9,19.558,663.1242582,14.5447787,24.96872888,623.1703202
7_24_1,84.5,9.652,142.9828162,4.904405022,7.223454487,131.5446135
7_24_1,86.3,11.176,196.6087363,6.146013272,9.344652587,181.6797616
7_24_1,88.2,8.255,101.8058738,3.855369927,5.489032401,93.22240689
7_24_1,89.2,10.16,159.8374623,5.307339329,7.904377045,147.277921
7_24_1,90,16.256,443.7337591,10.94165646,18.04477356,414.6860138
7_24_1,92.1,21.463,811.5002855,16.78198517,29.39603872,764.7409033
7_24_1,94,7.112,73.64770244,3.065017669,4.224959464,67.13676347
7_24_1,95.5,9.652,142.9828162,4.904405022,7.223454487,131.5446135
7_24_1,96,21.59,821.9681847,16.93508604,29.70220421,774.7430625
7_24_1,98.6,7.366,79.48176909,3.235133347,4.493529463,72.53155458
7_24_1,100.8,10.922,187.0304949,5.932320016,8.974876196,172.7093854
7_24_1,101.6,17.78,539.1016725,12.5600243,21.12034081,505.1703527
7_24_1,103.4,4.445,26.52865962,1.486711713,1.850711647,23.84397501
7_24_1,103.7,10.668,177.7099012,5.721290411,8.611546565,163.9864079
7_24_1,104.7,4.191,23.34532169,1.357971914,1.669012556,20.9456965
7_24_1,106.2,18.288,573.1253657,13.11665929,22.19154658,537.5077042
7_24_1,111.5,4.318,24.90954793,1.42183124,1.758851698,22.36920985
7_24_1,111.9,18.161,564.5140531,12.97670859,21.92160701,529.3206245
7_24_1,113.8,5.969,50.33334962,2.340484509,3.105917437,45.64245697
7_24_1,115.1,18.034,555.9730568,12.83728471,21.65309123,521.2021044
7_24_1,117.3,11.049,191.7873452,6.038835464,9.158960823,177.163576
7_24_1,119,13.081,276.7584,7.830925757,12.31998549,256.9567073
7_24_1,121.2,18.923,617.2396165,13.82425675,23.56251734,579.4748666
7_24_1,121.5,7.239,76.53473509,3.149673097,4.358353643,69.80570584
7_24_1,123.2,19.558,663.1242582,14.5447787,24.96872888,623.1703202
7_24_1,123.8,5.207,37.4108979,1.896716712,2.443544506,33.78529794
7_24_1,124,7.874,91.87348576,3.584896469,5.051900759,84.00798882
7_24_1,124.5,13.462,294.5700032,8.184767544,12.95710948,273.7301253
7_24_1,126,5.334,39.4215721,1.968394463,2.549177475,35.62691802
7_24_1,126.5,19.431,653.8052094,14.39964985,24.68468103,614.2924053
7_24_1,128.3,6.096,52.68894732,2.417577299,3.222907793,47.80877799
7_24_1,128.7,3.556,16.33734638,1.054511024,1.250666349,14.58581841
7_24_1,130.5,4.445,26.52865962,1.486711713,1.850711647,23.84397501
7_24_1,131,17.526,522.5105263,12.2848919,20.59331506,489.4116634
7_24_1,133.1,7.112,73.64770244,3.065017669,4.224959464,67.13676347
7_24_1,133.5,19.431,653.8052094,14.39964985,24.68468103,614.2924053
7_24_1,134.8,5.588,43.61392035,2.114519213,2.766190453,39.47089306
7_24_1,136.5,6.985,70.82048825,2.981173653,4.09335463,64.52452383
7_24_1,137.1,4.318,24.90954793,1.42183124,1.758851698,22.36920985
7_24_1,137.3,19.304,644.5573015,14.25503168,24.4020337,605.4839949
7_24_1,138.9,20.066,701.1134549,15.13037049,26.11888127,659.3788542
7_24_1,139.1,4.064,21.83569901,1.295147878,1.581208983,19.57312597
7_24_1,140,8.89,119.5894844,4.321242326,6.252012534,109.750942
7_24_1,140.6,24.511,1082.869579,20.58813075,37.11694848,1024.556563
7_24_1,141,17.018,490.1661618,11.74106809,19.55651842,458.7102846
7_24_1,146.9,3.302,13.9078936,0.94082437,1.098038124,12.38918842
7_24_1,150,14.224,331.9990865,8.908710386,14.27261754,309.0224272
7_24_1,150.1,12.954,270.9542417,7.714200476,12.11069068,251.494038
7_24_1,150.5,18.034,555.9730568,12.83728471,21.65309123,521.2021044
7_24_1,150.9,13.335,288.5661704,8.066211994,12.74319849,268.0746258
7_24_1,152,29.21,1585.090627,26.96918521,50.50635552,1507.663139
7_24_1,154,13.843,312.9825987,8.544052268,13.60801799,291.0842679
7_24_1,154.5,21.082,780.5305218,16.32561473,28.485752,735.159598
